period,transit_epoch_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,star_radius_sol,star_teff,star_logg,disposition_text,source,target_encoded
9.48803557,170.53875,2.9575,615.8,2.26,0.927,5455.0,4.467,CONFIRMED,Kepler,1
19.89913995,175.850252,1.7822,10829.0,14.6,0.868,5853.0,4.544,CANDIDATE,Kepler,1
2.525591777,171.59555,1.6545,603.3,2.75,1.046,6031.0,4.438,CONFIRMED,Kepler,1
11.09432054,171.20116,4.5945,1517.5,3.9,0.972,6046.0,4.486,CONFIRMED,Kepler,1
4.13443512,172.97937,3.1402,686.0,2.77,0.972,6046.0,4.486,CONFIRMED,Kepler,1
2.56658897,179.55437,2.429,226.5,1.59,0.972,6046.0,4.486,CONFIRMED,Kepler,1
16.06864674,173.621937,3.5347,4914.3,5.76,0.848,5031.0,4.485,CONFIRMED,Kepler,1
2.470613377,122.763305,1.74319,14231.0,13.04,0.964,5820.0,4.457,CONFIRMED,Kepler,1
2.204735417,121.3585417,3.88864,6674.7,16.1,1.952,6440.0,4.019,CONFIRMED,Kepler,1
3.522498429,121.1194228,3.19843,9145.7,14.59,1.451,6225.0,4.169,CONFIRMED,Kepler,1
3.709214104,133.98318,2.6302,131.1,1.16,1.022,5833.0,4.407,CONFIRMED,Kepler,1
9.27358173,173.258155,3.2875,1288.3,2.47,0.696,4856.0,4.583,CONFIRMED,Kepler,1
6.02930329,171.602959,1.5821,1912.7,2.85,0.672,4537.0,4.648,CONFIRMED,Kepler,1
2.696370652,170.73769,3.6129,397.9,1.58,0.819,4989.0,4.504,FALSE POSITIVE,Kepler,0
5.349553819,171.80694,3.0278,831.0,2.55,0.91,5185.0,4.44,CONFIRMED,Kepler,1
3.94105221,136.08662,2.5984,363.3,1.7,0.91,5185.0,4.44,CONFIRMED,Kepler,1
8.10904807,132.8031,3.596,217.4,1.3,0.91,5185.0,4.44,CONFIRMED,Kepler,1
21.67699193,171.53594,3.4555,857.2,2.95,0.828,4954.0,4.5,CONFIRMED,Kepler,1
4.99677968,171.74208,2.1717,934.7,2.78,0.847,5339.0,4.552,CONFIRMED,Kepler,1
4.280963604,171.89659,2.875,750.8,2.3,0.831,5644.0,4.564,CONFIRMED,Kepler,1
1.50635409,170.998064,1.5155,2211.7,4.53,0.831,5714.0,4.563,FALSE POSITIVE,Kepler,0
38.3775486,172.82048,5.588,724.2,2.82,1.036,5481.0,4.369,CONFIRMED,Kepler,1
6.252962249,171.30126,2.5819,1036.9,2.65,0.848,5031.0,4.485,CONFIRMED,Kepler,1
16.01308419,176.3608,3.2554,1121.9,3.1,0.826,5015.0,4.499,CONFIRMED,Kepler,1
32.62876672,194.1019,4.7971,1804.8,3.36,0.798,5586.0,4.56,CONFIRMED,Kepler,1
4.959319244,172.2585292,2.22739,9802.0,12.21,1.082,5712.0,4.359,CONFIRMED,Kepler,1
2.701287801,170.69579,3.3827,860.4,6.54,0.91,5550.0,4.468,FALSE POSITIVE,Kepler,0
4.49876511,171.34905,3.7362,460.0,2.1,0.969,6075.0,4.486,CONFIRMED,Kepler,1
19.651209505,179.401981,5.2514,11766.0,12.42,1.063,6074.0,4.391,FALSE POSITIVE,Kepler,0
5.412203927,133.143089,2.9472,601.6,2.94,1.087,5779.0,4.339,CONFIRMED,Kepler,1
8.35389523,171.63257,2.2514,1041.6,2.52,0.787,5592.0,4.582,CONFIRMED,Kepler,1
4.125543472,169.752585,3.1744,1487.3,4.43,1.103,6174.0,4.417,CONFIRMED,Kepler,1
2.816504904,170.9676846,2.50587,16814.0,12.21,0.955,5532.0,4.452,CONFIRMED,Kepler,1
3.689920099,170.36571,2.6557,426.7,1.89,0.917,5880.0,4.518,CONFIRMED,Kepler,1
4.431238488,171.015,3.15,1010.9,3.25,1.015,5714.0,4.428,CONFIRMED,Kepler,1
11.37936986,133.84992,2.6255,1023.5,3.95,1.015,5714.0,4.428,CONFIRMED,Kepler,1
26.39432897,176.05459,3.573,1510.9,3.07,0.763,5129.0,4.595,CONFIRMED,Kepler,1
13.57078281,136.279194,3.3539,511.7,2.64,1.012,5854.0,4.406,CONFIRMED,Kepler,1
7.12594387,139.00492,3.0014,192.4,1.79,1.087,5779.0,4.339,CONFIRMED,Kepler,1
16.38489988,172.72782,3.0249,1127.1,2.0,0.615,4126.0,4.661,CONFIRMED,Kepler,1
7.8774163,176.3759,2.0805,1306.1,2.16,0.615,4126.0,4.661,CONFIRMED,Kepler,1
36.4454001,151.60125,4.007,1122.3,1.99,0.615,4126.0,4.661,CONFIRMED,Kepler,1
3.728732147,171.793255,2.683,5226.5,6.02,0.809,5497.0,4.577,CONFIRMED,Kepler,1
2.243380573,170.679233,1.1196,821.7,1.99,0.564,4149.0,4.698,CONFIRMED,Kepler,1
10.405998015,177.197466,6.5036,14489.0,11.23,0.924,5746.0,4.393,FALSE POSITIVE,Kepler,0
2.337437946,171.761982,1.9982,971.2,2.34,0.765,5005.0,4.595,CONFIRMED,Kepler,1
7.2406612,137.75545,0.558,556.4,19.45,0.765,5005.0,4.595,CANDIDATE,Kepler,1
3.43591631,132.6624,3.133,23.2,0.55,1.087,5779.0,4.339,CANDIDATE,Kepler,1
11.59822233,180.395376,2.5237,2804.5,2.65,0.473,3688.0,4.79,CONFIRMED,Kepler,1
6.575315881,173.634044,4.3084,2793.3,5.31,0.989,5992.0,4.415,CONFIRMED,Kepler,1
7.275040844,169.994217,7.5377,3001.0,4.86,0.867,5485.0,4.556,CONFIRMED,Kepler,1
19.27153892,186.77093,2.7594,1219.8,1.93,0.56,4077.0,4.702,CONFIRMED,Kepler,1
10.06524317,136.28906,1.369,1053.3,1.91,0.56,4077.0,4.702,CONFIRMED,Kepler,1
12.3935651,178.74725,3.8896,916.6,2.66,0.75,5557.0,4.603,CONFIRMED,Kepler,1
3.341913228,171.63943,3.813,725.3,21.55,0.811,5295.0,4.551,FALSE POSITIVE,Kepler,0
2.711504086,170.03417,3.0099,837.5,3.12,1.076,6214.0,4.442,CONFIRMED,Kepler,1
7.21203748,172.81782,4.0491,950.4,3.32,1.076,6214.0,4.442,CONFIRMED,Kepler,1
14.1798187,171.50237,2.505,459.9,1.88,0.878,5799.0,4.539,FALSE POSITIVE,Kepler,0
8.47237911,174.16212,2.7245,1123.5,2.59,0.788,5354.0,4.587,CONFIRMED,Kepler,1
12.611904345,180.892284,5.1497,6105.6,7.4,0.919,5795.0,4.508,CONFIRMED,Kepler,1
10.31872301,173.31543,3.836,871.7,28.59,1.06,5927.0,4.409,FALSE POSITIVE,Kepler,0
2.539183147,169.67494,2.4282,382.1,2.06,1.062,5519.0,4.35,CONFIRMED,Kepler,1
6.770300385,170.57662,2.0844,1304.0,2.77,0.679,5653.0,4.656,CONFIRMED,Kepler,1
0.444291966,169.865406,2.0792,10967.0,27.51,0.636,5255.0,4.678,FALSE POSITIVE,Kepler,0
10.181584004,177.141891,3.5089,5741.1,7.73,0.836,5988.0,4.541,CANDIDATE,Kepler,1
20.06036336,147.46554,3.3203,1494.7,1.96,0.493,3950.0,4.754,CONFIRMED,Kepler,1
23.9800854,147.537,5.351,104.0,1.31,1.012,5854.0,4.406,CONFIRMED,Kepler,1
7.82502168,136.54995,2.186,520.8,1.2,0.493,3950.0,4.754,CONFIRMED,Kepler,1
3.895936525,170.527552,2.3111,8544.8,7.34,0.774,5557.0,4.592,CONFIRMED,Kepler,1
22.36646466,175.45862,5.228,986.8,2.32,0.734,5395.0,4.615,CONFIRMED,Kepler,1
1.625522174,170.8266564,2.38963,7969.0,9.73,1.106,5539.0,4.322,CONFIRMED,Kepler,1
7.544039,171.7982,6.222,322.6,17.47,0.824,5657.0,4.567,FALSE POSITIVE,Kepler,0
9.02930689,177.20422,3.1449,1019.8,2.57,0.82,5349.0,4.526,CONFIRMED,Kepler,1
6.164876,135.63916,3.262,55.8,0.79,1.012,5854.0,4.406,CONFIRMED,Kepler,1
29.1598615,150.69922,4.803,488.0,1.91,0.867,5485.0,4.556,CONFIRMED,Kepler,1
1.540397253,170.50479,2.1541,816.1,25.69,0.915,5663.0,4.53,FALSE POSITIVE,Kepler,0
2.99025443,171.9834,5.414,589.2,1.7,0.731,4667.0,4.578,FALSE POSITIVE,Kepler,0
1.594745374,170.6483505,1.9604,15044.0,11.3,0.893,5934.0,4.491,CONFIRMED,Kepler,1
4.783002698,170.508434,2.335,1008.7,2.5,0.807,5170.0,4.574,CONFIRMED,Kepler,1
20.50588921,181.43428,4.0595,2105.5,3.41,0.761,4905.0,4.544,CONFIRMED,Kepler,1
3.340218842,171.979062,1.9104,1632.6,2.03,0.493,3950.0,4.754,CONFIRMED,Kepler,1
18.64932728,174.771,4.4056,893.6,3.12,1.053,5775.0,4.405,CONFIRMED,Kepler,1
4.90144976,138.60548,4.1654,140.7,1.7,1.402,5847.0,4.191,CONFIRMED,Kepler,1
9.75192101,138.78608,4.793,418.0,2.76,1.053,5775.0,4.405,CONFIRMED,Kepler,1
38.5576546,163.85063,5.794,993.0,4.02,1.053,5775.0,4.405,CONFIRMED,Kepler,1
34.84398644,172.633252,2.9315,4523.6,7.61,0.871,5509.0,4.482,CANDIDATE,Kepler,1
7.748094239,174.997206,3.5957,2472.1,5.52,1.085,5973.0,4.439,CONFIRMED,Kepler,1
23.96793669,186.22182,3.827,1182.3,1.8,0.524,3747.0,4.728,CONFIRMED,Kepler,1
8.29561738,135.79284,1.3421,824.3,1.82,0.524,3747.0,4.728,CONFIRMED,Kepler,1
